counterfactual_variant,macro_step_id,date,code_id,source_prob,source_trigger,alpha,action_l1_shift,market_gate,daily_steps,portfolio_value
original_ppo,0,2022-01-07,5,0.0,False,0.0,0.0,1.0,5,999670.3201092202
original_ppo,1,2022-01-14,5,0.0,False,0.0,0.0,1.0,5,999080.9509766899
original_ppo,2,2022-01-21,5,0.0,False,0.0,0.0,1.0,4,998413.1857651224
original_ppo,3,2022-01-24,3,0.0,False,0.0,0.0,1.0,1,998470.7380211215
original_ppo,4,2022-01-25,3,0.0,False,0.0,0.0,1.0,1,998467.8411443386
original_ppo,5,2022-02-01,3,0.0,False,0.0,0.0,1.0,5,999647.7556400746
original_ppo,6,2022-02-08,3,0.0,False,0.0,0.0,1.0,5,1000094.6854967867
original_ppo,7,2022-02-15,6,0.0,False,0.0,0.0,1.0,5,998213.4966618955
original_ppo,8,2022-02-23,5,0.0,False,0.0,0.0,1.0,5,994052.6625683184
original_ppo,9,2022-03-02,3,0.0,False,0.0,0.0,1.0,5,995664.7552010675
original_ppo,10,2022-03-09,3,0.0,False,0.0,0.0,1.0,5,993541.570243668
original_ppo,11,2022-03-16,3,0.0,False,0.0,0.0,1.0,5,999387.2857116497
original_ppo,12,2022-03-23,7,0.0,False,0.0,0.0,1.0,5,1000785.4284857477
original_ppo,13,2022-03-29,6,0.0,False,0.0,0.0,1.0,4,1005195.8872086524
original_ppo,14,2022-04-05,4,0.0,False,0.0,0.0,1.0,5,999161.1108064963
original_ppo,15,2022-04-12,5,0.0,False,0.0,0.0,1.0,5,998998.1373170207
original_ppo,16,2022-04-20,6,0.0,False,0.0,0.0,1.0,5,999614.9687942556
original_ppo,17,2022-04-26,5,0.0,False,0.0,0.0,1.0,4,982724.0395991849
original_ppo,18,2022-04-27,3,0.0,False,0.0,0.0,1.0,1,989847.275872243
original_ppo,19,2022-05-04,3,0.0,False,0.0,0.0,1.0,5,979368.9077354296
original_ppo,20,2022-05-11,3,0.0,False,0.0,0.0,1.0,5,965484.8046268285
original_ppo,21,2022-05-17,3,0.0,False,0.0,0.0,1.0,4,962479.5584499593
original_ppo,22,2022-05-24,3,0.0,False,0.0,0.0,1.0,5,967784.6104270739
original_ppo,23,2022-05-26,3,0.0,False,0.0,0.0,1.0,2,982132.583639996
original_ppo,24,2022-06-03,7,0.0,False,0.0,0.0,1.0,5,981227.1594079437
original_ppo,25,2022-06-10,6,0.0,False,0.0,0.0,1.0,5,945866.6091858122
original_ppo,26,2022-06-13,3,0.0,False,0.0,0.0,1.0,1,943916.8791708652
original_ppo,27,2022-06-21,3,0.0,False,0.0,0.0,1.0,5,947345.826324911
original_ppo,28,2022-06-27,3,0.0,False,0.0,0.0,1.0,4,952095.9456433472
original_ppo,29,2022-07-05,3,0.0,False,0.0,0.0,1.0,5,954056.6009756587
original_ppo,30,2022-07-12,3,0.0,False,0.0,0.0,1.0,5,950848.2112913245
original_ppo,31,2022-07-19,3,0.0,False,0.0,0.0,1.0,5,968385.145892344
original_ppo,32,2022-07-21,6,0.0,False,0.0,0.0,1.0,2,966938.8416686261
original_ppo,33,2022-07-28,6,0.0,False,0.0,0.0,1.0,5,983813.5045952942
original_ppo,34,2022-08-04,6,0.0,False,0.0,0.0,1.0,5,983301.1342496609
original_ppo,35,2022-08-11,5,0.0,False,0.0,0.0,1.0,5,1002026.8985934913
