source_code,arm,eta0,length,kernel,window_type,window_id,start_row,start_date,end_date,split,fold,source_zip,bad_auc_natural,bad_auc_edited,bad_auc_reduction,bad_prob_start_natural,bad_prob_start_edited,bad_prob_end_natural,bad_prob_end_edited,bad_dwell_natural,bad_dwell_edited,bad_dwell_reduction,primitive_switch_rate,mean_action_l1_shift_exact,p95_action_l1_shift_exact,mean_logprob_delta_exact,mean_entropy_delta_exact,ood_max_mean_pct,ood_max_p95_pct,latent_ood_max_p95_pct,obs_ood_max_p95_pct,mean_market_gate,mean_volatility_gate,mean_liquidity_gate,mean_sector_gate,mean_correlation_regime_gate,mean_drawdown_gate,mean_recovery_gate,mean_turbulence_gate,mean_ood_gate,peak_multiplier,dose_multiplier,ood_capped,safe_sequential_gate,safe_suppression_score,natural_cum_return,mean_turnover_l1_natural,mean_cash_target_natural,mean_risk_stress,mean_recovery_score
2,hidden_direction,1.0,3,no_intervention,event,0,930,2013-09-25,2013-09-27,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.8448591816338495,0.8448591816338495,0.0,0.2816197272112832,0.2816197272112832,0.2816197272112832,0.2816197272112832,3,3,0,0.0,2.483526865641276e-09,3.725290298461914e-09,0.0,0.0,0.5765345765345765,0.5770895770895771,0.5770895770895771,,0.6677533074662839,0.8108971551269502,0.9953516324987915,1.0,1.0,0.9771067215647601,0.8507587043886399,0.9940204545855522,1.0,0.0,0.0,False,True,-2.483526865641276e-09,-0.005911724918297168,0.0011620918753021,0.1354737877845763,0.5581848728291826,0.4030348175545598
2,hidden_direction,1.0,3,no_intervention,event,1,1116,2014-06-23,2014-06-25,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.7787214217323595,0.7787214217323595,0.0,0.2595738072441198,0.2595738072441198,0.2595738072441198,0.2595738072441198,0,0,0,0.0,5.587935447692871e-09,5.587935447692871e-09,0.0,0.0,0.645021645021645,0.645021645021645,0.645021645021645,,0.7485763863422449,0.8601814547165287,0.9970122231536559,1.0,1.0,0.9960726561900244,0.8759549278991364,1.0,1.0,0.0,0.0,False,True,-5.587935447692871e-09,-0.0022530871611878833,0.0007469442115860333,0.2075089216232298,0.44448539441358603,0.503819711596546
2,hidden_direction,1.0,3,no_intervention,event,2,1608,2016-06-06,2016-06-08,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.8556806033864685,0.8556806033864685,0.0,0.24186736443624277,0.24186736443624277,0.3719458745139829,0.3719458745139829,3,3,0,0.0,6.395081679026286e-08,9.275972843170165e-08,5.086263020833333e-06,-5.086263020833333e-06,0.33932733932733933,0.6699300699300699,0.6699300699300699,,0.7602299881920493,0.8658650587243945,0.9948982953357413,1.0,1.0,0.9997097567301667,0.8827358449875277,1.0,1.0,0.0,0.0,False,True,-2.6070823272069292e-06,0.003098395268643861,0.0012754261660646998,0.1538536548614502,0.43623283828526427,0.5309433799501109
2,hidden_direction,1.0,3,no_intervention,event,3,1646,2016-07-29,2016-08-02,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.9767729988096263,0.9767729988096263,0.0,0.32559099960320875,0.32559099960320875,0.32559099960320875,0.32559099960320875,3,3,0,0.0,6.20881716410319e-09,7.450580596923828e-09,0.0,0.0,0.6503496503496503,0.6503496503496503,0.6503496503496503,,0.7348533656777166,0.8581855879495618,0.9956149448274426,1.0,1.0,0.9885303985783956,0.8699603305340865,1.0,1.0,0.0,0.0,False,True,-6.20881716410319e-09,-0.0026669052735345256,0.0010962637931393575,0.1648565530776977,0.4658390333188646,0.47984132213634556
2,hidden_direction,1.0,3,no_intervention,event,4,1756,2017-01-05,2017-01-09,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.7238472351256748,0.7238472351256748,0.0,0.2412824117085583,0.2412824117085583,0.2412824117085583,0.2412824117085583,0,0,0,0.0,4.967053731282552e-09,7.078051567077636e-09,0.0,0.0,0.49117549117549125,0.4911754911754912,0.4911754911754912,,0.7972218935576686,0.893294511452106,0.9948310193993258,1.0,1.0,0.9976901648144443,0.8991668802492031,1.0,1.0,0.0,0.0,False,True,-4.967053731282552e-09,0.0013226372115862084,0.0012922451501685332,0.12144762277603131,0.3556849618263132,0.5966675209968123
2,hidden_direction,1.0,3,no_intervention,event,5,1929,2017-09-13,2017-09-15,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.670788704241618,0.670788704241618,0.0,0.223596234747206,0.223596234747206,0.223596234747206,0.223596234747206,0,0,0,0.0,4.967053731282552e-09,7.078051567077636e-09,0.0,0.0,0.18426018426018423,0.1848151848151848,0.1848151848151848,,0.8094270643745648,0.8966319397128512,0.9991742086034376,1.0,1.0,0.9998568739470585,0.9035612903769246,1.0,1.0,0.0,0.0,False,True,-4.967053731282552e-09,0.0033265921894374273,0.0002064478491406,0.166055142879486,0.34456020095716294,0.614245161507698
2,hidden_direction,1.0,3,no_intervention,event,6,2476,2019-11-14,2019-11-18,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.6349326447554251,0.6349326447554251,0.0,0.21164421491847504,0.21164421491847504,0.21164421491847504,0.21164421491847504,0,0,0,0.0,7.140139738718669e-08,7.878988981246948e-08,0.0,0.0,0.5504495504495505,0.5504495504495505,0.5504495504495505,,0.7457527366945272,0.8705331667097305,0.99712960474175,1.0,1.0,0.9998807082016108,0.8844425553155482,0.9709221328298251,1.0,0.0,0.0,False,True,-7.140139738718669e-08,0.005855163528490692,0.0007175988145625001,0.19707006216049186,0.42429380586970383,0.5377702212621926
2,hidden_direction,1.0,3,constant_peak,event,0,930,2013-09-25,2013-09-27,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.8448591816338495,0.7729720834069869,0.07188709822686262,0.2816197272112832,0.2566224072133863,0.2816197272112832,0.2597988004742083,3,3,0,0.0,0.00840386189520359,0.00879915039986372,-0.030515034993489582,0.04242706298828125,0.5726495726495726,0.5735930735930735,0.5735930735930735,,0.6677533074662839,0.8108971551269502,0.9953516324987915,1.0,1.0,0.9771067215647601,0.8507587043886399,0.9940204545855522,1.0,0.6991940771812699,2.003259922398852,False,True,0.04822571883491424,-0.005911724918297168,0.0011620918753021,0.1354737877845763,0.5581848728291826,0.4030348175545598
2,hidden_direction,1.0,3,constant_peak,event,1,1116,2014-06-23,2014-06-25,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.7787214217323595,0.7057697472342307,0.07295167449812884,0.2595738072441198,0.23375928646468247,0.2595738072441198,0.2359722629315095,0,0,0,0.0,0.010149111350377401,0.01069852039217949,-0.03680419921875,0.052538553873697914,0.6433566433566433,0.6433566433566433,0.6433566433566433,,0.7485763863422449,0.8601814547165287,0.9970122231536559,1.0,1.0,0.9960726561900244,0.8759549278991364,1.0,1.0,0.795802109464007,2.2457291590267348,False,True,0.04440046353837644,-0.0022530871611878833,0.0007469442115860333,0.2075089216232298,0.44448539441358603,0.503819711596546
2,hidden_direction,1.0,3,constant_peak,event,2,1608,2016-06-06,2016-06-08,train,fold_2021,stage0_1_job_213_R6c_v1_fold_2021_results.zip,0.8556806033864685,0.7736101951749568,0.08207040821151176,0.24186736443624277,0.21702570692348566,0.3719458745139829,0.3402565213756163,3,1,2,0.6666666666666666,0.009370886410276094,0.0098072562366724,-0.035039265950520836,0.049692789713541664,0.3558663558663559,0.631168831168831,0.631168831168831,,0.7602299881920493,0.8658650587243945,0.9948982953357413,1.0,1.0,0.9997097567301667,0.8827358449875277,1.0,1.0,0.7680269690763307,2.280689964576148,False,True,0.05517988882597524,0.003098395268643861,0.0012754261660646998,0.1538536548614502,0.43623283828526427,0.5309433799501109
