source_code,arm,eta0,length,kernel,window_type,n_windows,mean_bad_auc_reduction,median_bad_auc_reduction,mean_bad_dwell_reduction,mean_primitive_switch_rate,p95_action_l1_shift_exact,p95_ood_max_pct,mean_logprob_delta_exact,mean_entropy_delta_exact,safe_window_rate,mean_safe_suppression_score,mean_natural_cum_return,mean_risk_stress,mean_market_gate,mean_volatility_gate,mean_liquidity_gate,mean_sector_gate,mean_correlation_regime_gate,mean_drawdown_gate,mean_recovery_gate,mean_turbulence_gate,mean_ood_gate,stage6_candidate_broad,temporal_shape_pass,wrong_direction_control_pass,stage6_candidate_strict,stage6_candidate
4,hidden_direction,1.0,20,hawkes_retriggered_dose,event,5,0.5681971725179011,0.5893202825729729,2.0,0.15,0.015777831226587297,0.9746253746253747,-0.030309829711914066,0.034602966308593754,1.0,0.5107282014387693,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,True,True
4,hidden_subspace,1.0,20,hawkes_retriggered_dose,event,5,0.5579708992475358,0.5802760012677204,2.0,0.15,0.014636135175824164,0.9746253746253747,-0.027764968872070316,0.032040100097656246,1.0,0.5022402468203186,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,True,True
4,hidden_direction,1.0,20,constant_peak,event,5,0.5264778520395514,0.5468074413870627,1.2,0.11000000000000001,0.00843130897730589,0.9746253746253747,-0.029557228088378906,0.03283233642578125,1.0,0.46936293273665,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_direction,1.0,20,random_same_dose,event,5,0.5246930692444541,0.5401604786959291,1.6,0.13,0.012430033218115569,0.974958374958375,-0.02947364807128906,0.03278678894042968,1.0,0.4659855030626491,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_direction,1.0,20,reverse_exponential_dose,event,5,0.5213248830468786,0.5241480831831564,1.8,0.14,0.017748949714004997,0.9746253746253747,-0.028609046936035155,0.031505584716796875,1.0,0.46487771886347967,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_direction,1.0,20,linear_dose,event,5,0.5200518791550662,0.5639519089829849,2.0,0.15,0.015416519213467837,0.974975024975025,-0.02993316650390625,0.03301261901855469,1.0,0.46086392300920476,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_subspace,1.0,20,constant_peak,event,5,0.5170918757504436,0.5383609776613902,1.0,0.1,0.007704203762114049,0.974958374958375,-0.02702510833740234,0.03030158996582031,1.0,0.46005620741211856,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_direction,1.0,20,raised_cosine_dose,event,5,0.5174694135645224,0.5656416426240776,2.0,0.13,0.016193396132439374,0.974975024975025,-0.02997928619384766,0.03293701171875,1.0,0.4582259351332592,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_direction,1.0,20,logistic_dose,event,5,0.5173389268048185,0.5664079367878324,2.0,0.13999999999999999,0.015866007544100284,0.974958374958375,-0.029963378906249998,0.032900390625,1.0,0.458187119550031,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_subspace,1.0,20,reverse_exponential_dose,event,5,0.5121455208499446,0.5120429166631061,1.6,0.13,0.016521178577095272,0.9746253746253747,-0.026139106750488278,0.02902046203613281,1.0,0.4573919508056149,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_subspace,1.0,20,random_same_dose,event,5,0.512949158421595,0.5389098860945523,1.6,0.13,0.011477666590362787,0.974958374958375,-0.026926536560058594,0.030038681030273434,1.0,0.4559611842299033,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_subspace,1.0,20,linear_dose,event,5,0.5111138614994364,0.5523199413458282,2.0,0.15,0.014134284351021051,0.974975024975025,-0.027358398437500004,0.03045982360839844,1.0,0.45370819565579196,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_direction,1.0,20,exponential_dose,event,5,0.5121927989089956,0.5281928297518298,2.4,0.16999999999999998,0.02051354316994548,0.974958374958375,-0.029794044494628906,0.03271018981933594,1.0,0.4531652070074883,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_subspace,1.0,20,raised_cosine_dose,event,5,0.5086699888370394,0.5541798017122977,2.0,0.13999999999999999,0.01484563559293747,0.974975024975025,-0.027392768859863283,0.03037803649902344,1.0,0.4512188200811419,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
4,hidden_direction,1.0,20,har_mixture_dose,event,5,0.5101170085342319,0.5134221789324481,2.4,0.17,0.022047520652413378,0.974958374958375,-0.029657287597656252,0.03265213012695313,1.0,0.4512066831088789,0.0007944234315146348,0.45109496908030106,0.6326716155505853,0.850832424903054,0.9713589157416651,1.0,0.9621163424849509,0.9759965908810768,0.8811005832053743,0.960417645386886,0.9546853146853147,True,True,True,False,False
