code_id,n,mean_buy_requested,mean_buy_filled,mean_buy_unfilled,mean_sell_requested,mean_sell_filled,mean_sell_unfilled,mean_sell_expansion_count,mean_sell_final_k,mean_selected_buy_count,mean_selected_sell_count,mean_buy_allowed,mean_buy_fill_scale,buy_gate_hard_block_rate,buy_gate_soft_score,pass_conf_rerisk_rate,pass_recovery_rate,pass_risk_stress_rate,pass_breadth_5d_rate,pass_breadth_20d_rate,mean_rotation_requested,mean_rotation_sell_filled,mean_rotation_buy_filled,mean_rotation_unfilled,mean_rotation_stress_gate,mean_sell_multiplier,mean_sell_multiplier_p90,mean_residual_deterioration,mean_input_to_output_l1,mean_flow_l1,mean_flow_turnover,mean_buy_allowed_z,mean_sell_requested_z,mean_rotation_requested_z,mean_sell_multiplier_z
0,527,0.00253185597468116,0.0004889627493778464,0.002042893225303314,0.0010927616176419062,0.001092761617641906,7.541365776737872e-20,0.0,4.50853889943074,0.683111954459203,4.50853889943074,0.1461100569259962,0.1461100569259962,0.0,1.0,0.17267552182163187,0.3396584440227704,0.9962049335863378,1.0,1.0,0.001376380853435679,0.001376380853435666,0.0013763808534356624,7.797203479544709e-20,0.889102959055978,1.3031950576733757,1.6920465919605638,0.26602394512458555,0.01913880001197103,0.004334486073891112,0.0021672430369455344,-0.6273798419989441,-0.13582480399376307,0.07825023384548593,-0.5767770644127371
1,789,0.0024899519814133137,0.0007277373534258494,0.0017622146279874646,0.0007881394265704621,0.0007881394265704621,4.2386001043718995e-20,0.0,5.155893536121673,0.8010139416983524,5.155893536121673,0.13434727503168567,0.13434727503168567,0.0,1.0,0.1432192648922687,0.49302915082382764,1.0,1.0,1.0,0.0013804896628527902,0.0013804896628527741,0.001380489662852772,8.354815220167132e-20,0.9778603156562429,1.2736089204171928,1.6394987900055482,0.24952647109644155,0.017794681162511837,0.004276856105701883,0.00213842805285092,-0.6799578663585399,-0.8029071742872474,0.0985804369034952,-0.982866218237016
2,342,0.002218056391487657,9.72249295519269e-05,0.00212083146193573,0.0009220232677835698,0.0009220232677835695,5.2149490460194586e-20,0.0,5.473684210526316,0.1871345029239766,5.473684210526316,0.04093567251461988,0.04093567251461988,0.0,1.0,0.08187134502923976,0.2982456140350877,1.0,1.0,1.0,0.0013077590833578694,0.0013077590833578579,0.0013077590833578533,7.735243569779622e-20,0.9712667587955808,1.263186699105786,1.604057840223308,0.2281462629274563,0.018158881667912314,0.0036347663640512264,0.0018173831820255926,-1.097494938518887,-0.509719242619164,-0.2612871791267586,-1.125918046756267
3,248,0.004776361139065804,0.0010896167954221488,0.0036867443436436552,0.0012082764492765343,0.0012082764492765338,5.945624816855992e-20,0.0,5.709677419354839,1.0,5.709677419354839,0.3346774193548387,0.3346774193548387,0.0,1.0,0.375,0.3951612903225806,0.9395161290322581,1.0,1.0,0.0009850187971373618,0.0009850187971373562,0.0009850187971373536,7.10961202824416e-20,0.7709806773409539,1.404240399193479,1.9233630303054456,0.3773635311278544,0.03012628011096076,0.004267930838973418,0.002133965419486685,0.21549044704415077,0.11713742249356401,-1.8581915102301123,0.8101365728924772
4,347,0.01172473489812294,0.006825058582754832,0.004899676315368108,0.0012343146365319509,0.0012343146365319509,9.334449539770733e-20,0.0,5.671469740634006,1.4063400576368876,5.671469740634006,0.207492795389049,0.207492795389049,0.0,1.0,0.276657060518732,0.43804034582132567,1.0,1.0,1.0,0.0012908270841872332,0.001290827084187219,0.001290827084187215,7.748764806236458e-20,0.9493971484043433,1.309828192713466,1.7179306485003365,0.2758251939001208,0.038371275120299704,0.01064102738766124,0.005320513693830599,-0.35300740636531924,0.17415761400159224,-0.3450659447914623,-0.48573293207776896
5,349,0.01790509064604601,0.006654563273214156,0.011250527372831852,0.00037571691997813285,0.00037571691997813285,2.0658866610397148e-20,0.0,2.6131805157593124,1.3982808022922637,2.6131805157593124,0.19484240687679083,0.19484240687679083,0.0,1.0,0.5358166189111748,0.2922636103151863,0.997134670487106,1.0,1.0,0.0017726800811697016,0.0017726800811696838,0.0017726800811696786,7.840272873381927e-20,0.9303795092278658,1.3833458288172789,1.8713080442559946,0.33618539995235913,0.05373812638869505,0.010575640355531686,0.005287820177765823,-0.4095529107648843,-1.7060579995515381,2.0391208787608472,0.5233448795354887
6,343,0.009241927012195414,0.0021743325018388766,0.007067594510356537,0.0018579151879376172,0.0018579151879376172,1.11739203490853e-19,0.0,4.443148688046647,2.2157434402332363,4.443148688046647,0.4402332361516035,0.4402332361516035,0.0,1.0,0.5743440233236151,0.5131195335276968,0.9941690962099126,1.0,1.0,0.0013294185388416707,0.0013294185388416572,0.0013294185388416522,8.850629979473506e-20,0.9356595512811624,1.3294372446911285,1.785525366099249,0.30423521390418123,0.030317132728426597,0.006691084767459837,0.0033455423837298968,0.6873104940962628,1.5397604694102827,-0.15411717355828478,-0.21658582253946349
7,58,0.003855732265269419,0.003493443389807078,0.0003622888754623431,0.0017591390239367034,0.0017591390239367034,8.41191340721512e-20,0.0,4.551724137931035,4.137931034482759,4.551724137931035,0.7931034482758621,0.7931034482758621,0.0,1.0,0.8275862068965517,0.8103448275862069,0.9827586206896551,1.0,1.0,0.001441955427370176,0.0014419554273701603,0.001441955427370164,6.729530725772099e-20,0.9367443970881412,1.4948926801144589,2.214987153225009,0.4994222989120565,0.023742049920710523,0.00813649326848414,0.004068246634242042,2.264592022866161,1.3234537145462757,0.40271025819679723,2.0543986315952654
