code_id,n,share_valid,date_start,date_end,years_active,num_runs,median_run_length_days,max_run_length_days,mean_net_return,median_net_return,ann_sharpe_net_return,compound_return,mean_reward,mean_cash_target,mean_q_target,mean_cash_anchor,mean_q_anchor,mean_cash_scheduled,mean_q_scheduled,cash_target_p10,cash_target_p50,cash_target_p90,mean_risk_stress,mean_recovery_score,mean_confidence_rerisk,mean_confidence_derisk,recovery_trigger_rate,risk_break_trigger_rate,window_closed_early_rate,stop_active_rate,mean_turnover_l1,mean_stock_turnover_l1,mean_trade_buy_count,mean_trade_sell_count,mean_trade_hold_count,mean_trade_buy_weight_l1,mean_trade_sell_weight_l1,mean_drawdown,mean_concentration,mean_risky_hhi_target,mean_risky_entropy_target,mean_topk_buy_selected_count,mean_topk_sell_selected_count,mean_incremental_buy_allowed,mean_incremental_buy_fill_scale,mean_incremental_sell_multiplier,mean_rotation_requested,mean_rotation_unfilled,mean_vix,mean_vix_change_5d,mean_sp500_trend,mean_universe_return_20d,mean_residual_universe_return_20d,mean_residual_breadth_20d,mean_regime_p1,cash_vs_global,turnover_vs_global,risk_stress_vs_global,top8_executed_weights,top8_target_weights,top8_buy_selected_rates,top8_sell_selected_rates,top8_trade_abs
0,527,0.1754911754911755,2011-05-27,2020-02-05,9,29,17.0,45,-0.0001434721497663732,-0.00015063968819761797,-0.2869536589896776,-0.08810138997877626,-0.055582474449520074,0.18698799089869692,0.8130120091013031,0.18698799089869692,0.8130120091013031,0.19293972405537343,0.8070602759446266,0.144542098045349,0.1792783737182616,0.24298298358917236,0.4742586657200001,0.4621722077988018,0.3759313032696752,0.3919379968377725,0.0018975332068311196,0.0056925996204933585,0.007590132827324478,0.11954459203036052,0.0016710815547565175,0.0011539783482828673,5.960151802656546,11.969639468690701,11.070208728652752,0.0005277317161713368,0.0006262466321115303,-0.02042043751056065,0.06085859497174746,0.0348187701695161,3.3623936151209306,0.0,0.0,0.1461100569259962,0.1461100569259962,1.3031950576733757,0.0013763808534356901,7.797203479544709e-20,-0.16991681792316923,0.1884284349091252,-0.21949636714269657,-0.5665553295792404,-0.48244829153644814,0.5106327291762089,0.640623436258148,0.005153153522201137,-0.0011602076848255588,0.027484928587835578,V:0.0328; UNH:0.0326; AMZN:0.0314; AXP:0.0312; KO:0.0308; AAPL:0.0290; JNJ:0.0287; MMM:0.0286,V:0.0327; UNH:0.0325; AMZN:0.0313; AXP:0.0313; KO:0.0308; AAPL:0.0289; JNJ:0.0287; MMM:0.0286,CAT:0.0455; INTC:0.0455; AXP:0.0436; VZ:0.0436; V:0.0342; MRK:0.0323; CVX:0.0304; CSCO:0.0285,V:0.3036; DIS:0.2619; AAPL:0.2334; UNH:0.2334; AMZN:0.2182; TRV:0.1992; NKE:0.1973; MSFT:0.1935,V:0.0001; CAT:0.0001; WMT:0.0001; AMZN:0.0001; INTC:0.0001; NKE:0.0000; TRV:0.0000; AXP:0.0000
1,789,0.2627372627372627,2012-08-03,2020-01-27,9,29,20.0,125,0.0008649727384633549,0.000849621135476486,3.0259474852688415,0.9621987999516053,0.06251133689335442,0.1779747926388101,0.8220252073611899,0.1779747926388101,0.8220252073611899,0.1852721876556428,0.8147278123443571,0.13693386316299438,0.16664773225784302,0.22334694862365723,0.4281554850849002,0.5378073777868234,0.41042672333786756,0.34585626837944655,0.0025348542458808617,0.0,0.0025348542458808617,0.11533586818757921,0.0015809921687131986,0.0011016892357342783,5.451204055766794,11.992395437262358,11.55640050697085,0.0005795731238334564,0.0005221161119008219,-0.004868387311841833,0.058244147908958495,0.03484697353712836,3.3619971091899488,0.0,0.0,0.13434727503168567,0.13434727503168567,1.2736089204171928,0.001380489662852794,8.354815220167132e-20,-0.6008944883629802,-0.06285057145939814,0.27972855061419244,0.4285422253508902,0.333090891955973,0.5208251387614178,0.8188569783947238,-0.0038600447376856695,-0.0012502970708688776,-0.018618252047264305,V:0.0332; UNH:0.0324; AXP:0.0315; AMZN:0.0313; KO:0.0305; MMM:0.0296; JNJ:0.0291; AAPL:0.0291,V:0.0332; UNH:0.0324; AXP:0.0315; AMZN:0.0313; KO:0.0305; MMM:0.0296; JNJ:0.0291; AAPL:0.0291,UNH:0.0570; WMT:0.0520; VZ:0.0507; MMM:0.0494; MCD:0.0456; CAT:0.0444; GS:0.0431; CVX:0.0406,JPM:0.2738; AAPL:0.2636; AMZN:0.2522; HD:0.2459; DIS:0.2357; GS:0.2180; UNH:0.2066; CSCO:0.2003,MCD:0.0001; WMT:0.0001; TRV:0.0001; AMZN:0.0001; AAPL:0.0000; GS:0.0000; MMM:0.0000; UNH:0.0000
2,342,0.11388611388611389,2013-09-25,2019-12-05,6,7,17.0,160,0.000685458507557672,0.0006506680463187475,2.602759700562476,0.2603126283890469,0.04861216188341122,0.15096173213239297,0.8490382678676069,0.15096173213239297,0.8490382678676069,0.15955142922358725,0.8404485707764128,0.1094323992729187,0.15398254990577692,0.1895766258239746,0.45086234871427194,0.5043620145296263,0.37893679301970773,0.3683080076407753,0.0,0.0,0.0,0.09064327485380116,0.0012146419772156565,0.0009074814829645297,5.2251461988304095,11.994152046783626,11.780701754385966,0.00037431921469227445,0.0005331622682722554,-0.004056028814146164,0.050818202554959294,0.03501967188896244,3.3595099539027853,0.0,0.0,0.04093567251461988,0.04093567251461988,1.263186699105786,0.0013077590833578741,7.735243569779622e-20,-0.9120565593686522,0.0858523646823877,0.43614621292758865,0.24260706844881222,0.06994844331905348,0.5065537406735229,0.8306907126952333,-0.030873105244102805,-0.0016166472623664197,0.004088611582107438,V:0.0364; UNH:0.0346; AXP:0.0334; AMZN:0.0330; WMT:0.0318; MMM:0.0317; AAPL:0.0311; JNJ:0.0310,V:0.0364; UNH:0.0345; AXP:0.0334; AMZN:0.0330; WMT:0.0318; MMM:0.0317; AAPL:0.0311; JNJ:0.0310,IBM:0.0205; TRV:0.0146; V:0.0146; AXP:0.0117; DIS:0.0117; AAPL:0.0088; CSCO:0.0088; JNJ:0.0088,CAT:0.3830; AMZN:0.3041; BA:0.3012; INTC:0.2924; UNH:0.2895; AAPL:0.2719; JPM:0.2602; AXP:0.2398,CAT:0.0001; BA:0.0000; V:0.0000; WMT:0.0000; NKE:0.0000; INTC:0.0000; GS:0.0000; AMZN:0.0000
3,248,0.08258408258408259,2010-05-07,2021-12-14,9,14,14.0,53,-2.552892857058693e-05,0.0008086302009160384,-0.02266965285748998,-0.0450106143512321,-0.07418222568860731,0.20836793943758927,0.7916320605624106,0.20836793943758927,0.7916320605624106,0.22974113270266944,0.7702588672973305,0.11967402696609497,0.20289885997772217,0.2894409894943236,0.49286705408165427,0.4386702774125282,0.42765302251657583,0.4364839066161596,0.016129032258064516,0.012096774193548387,0.028225806451612902,0.10887096774193548,0.0018381412939410097,0.001159871821123122,4.866935483870968,11.47983870967742,12.653225806451612,0.0006013344330789127,0.0005585373880442092,-0.06892678210948873,0.07752195617261375,0.03487651237051423,3.3616178523185742,0.0,0.0,0.3346774193548387,0.3346774193548387,1.404240399193479,0.0009850187971373753,7.10961202824416e-20,1.6248790956432781,0.3114759849702222,-1.4139649613822374,-1.5702479345829137,-0.9866658582301713,0.48734705228031144,-1.242900263157583,0.026533102061093494,-0.0009931479456410665,0.04609331694948976,KO:0.0321; UNH:0.0315; V:0.0312; AMZN:0.0305; AXP:0.0299; JNJ:0.0285; WMT:0.0284; MCD:0.0282,KO:0.0321; UNH:0.0314; V:0.0311; AMZN:0.0306; AXP:0.0299; JNJ:0.0284; WMT:0.0283; MCD:0.0282,VZ:0.0726; CAT:0.0685; GS:0.0685; AMZN:0.0645; HD:0.0645; UNH:0.0605; BA:0.0484; JPM:0.0444,JNJ:0.4073; MSFT:0.3790; UNH:0.3669; NKE:0.3629; AAPL:0.3589; KO:0.3468; MCD:0.3306; V:0.3306,AMZN:0.0001; V:0.0001; KO:0.0001; UNH:0.0001; MSFT:0.0001; VZ:0.0001; HD:0.0001; AAPL:0.0001
4,347,0.11555111555111555,2010-02-19,2012-05-11,3,5,54.0,163,0.0005804603170424679,0.0007040997560432416,1.501799094441836,0.2151315538484213,0.006244935103743134,0.15483320240328563,0.8451667975967143,0.15483320240328563,0.8451667975967143,0.20179898600551308,0.798201013994487,0.09170883893966675,0.15191906690597534,0.2016448974609374,0.4522244840074997,0.5053601077728056,0.43120990292987066,0.4118371891535017,0.002881844380403458,0.0,0.002881844380403458,0.09510086455331412,0.006001340718983428,0.0033231886143202955,5.017291066282421,11.708933717579251,12.27377521613833,0.0025036496711159733,0.0008195389432043215,-0.011264424618459654,0.08527737391150192,0.0351267055804514,3.358034786968603,0.0,0.0,0.207492795389049,0.207492795389049,1.309828192713466,0.0012908270841872366,7.748764806236458e-20,0.12633497033386307,0.03200654309344953,0.6833865543081283,0.41818531882353344,0.19415455924021882,0.5040246447381497,-1.1667454112160103,-0.027001634973210148,0.003170051479401352,0.0054507468753351995,KO:0.0351; AXP:0.0331; UNH:0.0329; CVX:0.0306; V:0.0304; JPM:0.0294; AMZN:0.0293; DIS:0.0291,KO:0.0352; AXP:0.0333; UNH:0.0330; CVX:0.0307; V:0.0305; JPM:0.0296; AMZN:0.0293; DIS:0.0293,HON:0.0951; UNH:0.0922; AXP:0.0893; CVX:0.0836; CSCO:0.0778; KO:0.0749; MCD:0.0720; MSFT:0.0692,AXP:0.3401; AAPL:0.3343; CRM:0.3314; HD:0.3256; KO:0.3055; UNH:0.3026; IBM:0.2997; HON:0.2968,JPM:0.0002; INTC:0.0002; DIS:0.0002; GS:0.0002; V:0.0002; AXP:0.0002; MRK:0.0001; AAPL:0.0001
5,349,0.11621711621711622,2013-05-30,2021-11-23,3,3,78.0,266,0.0005939777905023232,0.00030575015813405493,1.6521865966932812,0.22332702347258682,-0.025809009479268383,0.20881635087267375,0.7911836491273262,0.20881635087267375,0.7911836491273262,0.3426541089110675,0.6573458910889326,0.12796652317047108,0.21897298097610463,0.3006435036659242,0.4583823896301397,0.4761351267811648,0.503198480536184,0.4789818432057337,0.0057306590257879654,0.011461318051575931,0.017191977077363897,0.05157593123209169,0.0060062945190208425,0.003425326239278378,6.587392550143266,10.959885386819485,11.45272206303725,0.0026619048617846515,0.000763421377493727,-0.010376588412205809,0.2107539120589854,0.03481144768757132,3.3625448144854464,0.0,0.0,0.19484240687679083,0.19484240687679083,1.3833458288172789,0.00177268008116971,7.840272873381925e-20,0.5921966466535,-0.060548075526835325,1.4087506248847512,0.1824806651739633,-0.3870733549532624,0.48799525738563376,-1.2155506122846658,0.026981513496177972,0.0031750052794387662,0.011608652497975214,UNH:0.0297; KO:0.0276; AMZN:0.0271; HD:0.0251; V:0.0242; MSFT:0.0237; JNJ:0.0237; NKE:0.0234,UNH:0.0299; KO:0.0278; AMZN:0.0272; HD:0.0252; V:0.0244; JNJ:0.0239; MSFT:0.0238; NKE:0.0235,MMM:0.0831; V:0.0802; INTC:0.0774; WMT:0.0745; NKE:0.0688; IBM:0.0630; MRK:0.0630; VZ:0.0630,AAPL:0.2034; KO:0.1777; AXP:0.1748; AMZN:0.1605; CAT:0.1519; CRM:0.1433; BA:0.1318; V:0.1289,UNH:0.0002; HD:0.0002; DIS:0.0002; KO:0.0002; JNJ:0.0001; AMZN:0.0001; BA:0.0001; TRV:0.0001
6,343,0.11421911421911422,2010-01-14,2021-12-17,11,18,19.0,52,0.0004330688407342833,0.0005153049774919705,0.8432759312112003,0.14697650135960805,-0.022355442696469767,0.20498429199696977,0.7950157080030302,0.20498429199696977,0.7950157080030302,0.26228635625380914,0.7377136437461908,0.1225084662437439,0.18489110469818104,0.31116384267807007,0.4138814254104476,0.5531967613311156,0.5310485035953095,0.4050433370519695,0.026239067055393587,0.0,0.026239067055393587,0.10204081632653061,0.0031839283617273364,0.0019205517835122485,5.63265306122449,11.084548104956268,12.282798833819243,0.0010353353625258163,0.0008852164209864323,-0.030026509897944635,0.13321534167708857,0.034899288296898826,3.3613282573890584,0.0,0.0,0.4402332361516035,0.4402332361516035,1.3294372446911285,0.001329418538841677,8.850629979473506e-20,0.4133148143032658,-0.26167282345365334,-0.5412839284928993,0.03606137549830465,0.2502276412133814,0.48798632753594057,-0.9895674009256217,0.02314945462047399,0.00035263912214526013,-0.032892311721716916,UNH:0.0301; KO:0.0299; V:0.0297; AXP:0.0292; AMZN:0.0284; JNJ:0.0263; INTC:0.0262; MCD:0.0262,UNH:0.0301; KO:0.0300; V:0.0296; AXP:0.0293; AMZN:0.0284; JNJ:0.0263; INTC:0.0262; MCD:0.0261,GS:0.1341; CRM:0.1312; CVX:0.1224; KO:0.1224; HD:0.1137; WMT:0.1137; MMM:0.1050; AMZN:0.1020,UNH:0.2682; TRV:0.2391; JNJ:0.2332; MSFT:0.2332; DIS:0.2303; AXP:0.2128; AAPL:0.2070; V:0.2070,V:0.0001; AMZN:0.0001; KO:0.0001; UNH:0.0001; MMM:0.0001; WMT:0.0001; VZ:0.0001; JNJ:0.0001
7,58,0.019314019314019316,2020-03-24,2020-06-15,1,1,58.0,58,0.003403461879558323,0.0034080397124186534,2.863201384725783,0.2055854827578909,0.27169620439866177,0.11840401435720503,0.881595985642795,0.11840401435720503,0.881595985642795,0.15908316029853892,0.8409168397014611,0.03326064348220825,0.06089031696319558,0.21046191453933716,0.32117080209703147,0.6911767836048073,0.6250436365873069,0.4123383064802872,0.08620689655172414,0.017241379310344827,0.10344827586206896,0.1896551724137931,0.004004874899835329,0.0023636861913018023,6.0344827586206895,12.068965517241379,10.89655172413793,0.001456893296229845,0.0009067928950719576,-0.10890986524000333,0.050745372265789665,0.03590426660858035,3.347404902588589,0.0,0.0,0.7931034482758621,0.7931034482758621,1.4948926801144589,0.0014419554273701807,6.729530725772097e-20,2.7623833972832252,-0.9182871165524783,-1.8190452451335972,0.6666168616763477,1.4977747880616497,0.48216409036860886,-1.2485476732254028,-0.06343082301929075,0.0011735856602532527,-0.12560293503513303,AMZN:0.0412; V:0.0390; UNH:0.0369; VZ:0.0344; KO:0.0343; WMT:0.0329; MSFT:0.0315; INTC:0.0310,AMZN:0.0411; V:0.0392; UNH:0.0369; KO:0.0347; VZ:0.0345; WMT:0.0328; MSFT:0.0314; INTC:0.0309,BA:0.5172; KO:0.4483; AXP:0.3621; VZ:0.2931; CVX:0.2759; GS:0.2586; V:0.2414; CSCO:0.2241,AAPL:0.3793; INTC:0.3793; AMGN:0.3448; MSFT:0.3448; NKE:0.2931; VZ:0.2931; CRM:0.2586; AMZN:0.2069,BA:0.0003; V:0.0002; KO:0.0002; AXP:0.0002; VZ:0.0001; INTC:0.0001; AMGN:0.0001; AAPL:0.0001
