arm,source_code,target_code,eta,n,source_prob_delta_mean,source_prob_delta_p95_abs,target_prob_delta_mean,primitive_switch_rate,action_l1_shift_mean_proxy,action_l1_shift_p95_proxy,raw_action_l2_shift_mean_proxy,action_l1_shift_mean_exact,action_l1_shift_p95_exact,raw_action_l2_shift_mean_exact,logprob_delta_mean_exact,entropy_delta_mean_exact,cash_q_sum_deviation_p95_proxy,mahalanobis_p95_pct,knn_p95_pct,pca_recon_p95_pct,ae_recon_p95_pct,density_p95_pct,ood_max_p95_pct,directionality_gate,policy_output_gate_proxy,policy_output_gate_exact,portfolio_behavior_gate_proxy,ood_safety_gate,no_immediate_risk_blowup_gate_proxy,exact_policy_forward_available,eligible_stage55_proxy,eligible_stage55_exact,status,blocked_exact_reason,obs_ood_max_p95_pct,latent_ood_max_p95_pct
logit_action_mean,0,2,0.25,527,,,,,0.03151353696952608,0.05227092695667549,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,0,2,0.25,527,-0.0009866593818101343,0.001855001701543062,0.0016621079485482672,0.028462998102466792,0.001571118905857573,0.002480321004986762,0.0189741951412569,0.001571118905857573,0.002480321004986762,0.0189741951412569,0.0043594172150179375,-0.004283260801485412,,0.9300699300699301,0.8997668997668997,0.9075924075924076,0.8864468864468864,0.8687978687978688,0.9567099567099567,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9567099567099567
hidden_direction,0,,0.5,527,-0.009148243219182943,0.010657277047176783,,0.10436432637571158,0.0047413451789768005,0.004741345178976831,0.05213238889612592,0.005446155483090448,0.006083922460675239,0.05216080093830541,0.014193547518475007,-0.006968402319660223,1.1102230246251565e-16,0.9194139194139194,0.9047619047619048,0.9107559107559106,0.8791208791208791,0.8588078588078588,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,,0.5,527,-0.008548450789049582,0.009997427441383044,,0.10815939278937381,0.005947018821615604,0.005947018821615659,0.0692248145136229,0.006777662285506386,0.007710343040525912,0.06925350673623963,0.017039376825263877,-0.012556376448166212,1.1102230246251565e-16,0.9234099234099234,0.9047619047619048,0.9107559107559106,0.8841158841158842,0.8621378621378621,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
input_level,0,,0.5,527,-0.0023807430718941086,0.003234481762529079,,0.024667931688804556,0.002392596605832934,0.0038019735366106033,0.03622213128222545,0.002392596605832934,0.0038019735366106033,0.03622213128222545,-0.0061856076206156605,0.007890675959143738,,0.9250749250749251,0.903096903096903,0.9068931068931069,0.8791208791208791,0.8621378621378621,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9533799533799534
hidden_direction,0,1,0.5,527,-0.005888955949909057,0.00878880918177033,0.007247252711364567,0.09867172675521822,0.005536768165226286,0.005536768165226313,0.058127544592913104,0.0058382969540482004,0.006518465466797351,0.05817112450327095,0.016213585348690256,-0.008297538395398481,1.1102230246251565e-16,0.9194139194139194,0.9070929070929071,0.9138861138861137,0.8791208791208791,0.8554778554778555,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
hidden_subspace,0,1,0.5,527,-0.00460019187987324,0.007791928885491295,0.005901872742974441,0.09867172675521822,0.008037419096181291,0.00803741909618132,0.10029567654587956,0.00861202976339456,0.01001831218600273,0.10034485859708044,0.024077131354605225,-0.022144628883086753,1.1102230246251565e-16,0.9234099234099234,0.9104229104229105,0.9130869130869129,0.8864468864468864,0.8654678654678655,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
logit_action_mean,0,1,0.5,527,,,,,0.042986209884560034,0.0759047387266964,,,,,,,,,,,,,,,True,,,,,False,False,False,action_mean_proxy_only_not_causal_hidden_intervention,no_environment_rollout_or_policy_logprob_for_counterfactual_action_mean,,
input_level,0,1,0.5,527,-0.0017179891360581691,0.0033079576842243545,0.0018882973201731577,0.05313092979127135,0.0024067668678977683,0.00424722209572792,0.030354447678735293,0.0024067668678977683,0.00424722209572792,0.030354447678735293,0.006344673981928961,-0.0052839854636726165,,0.9267399267399268,0.9047619047619048,0.9080919080919081,0.8847818847818848,0.8671328671328671,0.9583749583749583,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,0.9517149517149517,0.9583749583749583
hidden_direction,0,7,0.5,527,-0.013121301204018257,0.01557997578452791,0.0014818840930078208,0.11195445920303605,0.009094065644941404,0.009094065644941482,0.13632430856709923,0.011264975548525688,0.012975890189409254,0.1363921008537571,0.03005657159852348,-0.02607906565946691,1.1102230246251565e-16,0.9194139194139194,0.9064269064269064,0.9080586080586079,0.8757908757908758,0.8538128538128538,0.9533799533799534,False,True,True,True,True,True,True,False,False,descriptive_only_or_unsafe,,,
