decoder,target_columns,r2_in_sample,use
hidden_to_action_mode,action_mode,0.9718833113477346,policy_output_proxy
hidden_to_raw_action_params,raw_action_params,0.9999980318888806,policy_output_proxy
hidden_to_portfolio_scalar_logs,q_target;cash_target;q_anchor;cash_anchor;q_scheduled;cash_scheduled;turnover_l1;stock_turnover_l1;concentration;risky_hhi_target;risky_entropy_target;confidence_rerisk;confidence_derisk;risk_stress;recovery_score;incremental_topk_buy_allowed;incremental_topk_buy_fill_scale;incremental_topk_rotation_requested;incremental_topk_sell_multiplier_mean,0.26446125453923935,portfolio_behavior_proxy
