adapter,arm,source_code,objective_mode,loss_source_idx,n_adapter_train_rows,n_adapter_holdout_rows,epoch,loss,alpha_mse,bad_loss,mean_source_weight,mean_alpha_train,delta_norm
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,1.0,0.028907369822263718,0.009325794875621796,0.02741193398833275,0.10953836143016815,0.01798621006309986,0.0003235027252230793
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,25.0,0.02665507048368454,0.008205230347812176,0.027361664921045303,0.10953836143016815,0.019381508231163025,0.00045040561235509813
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,50.0,0.020237121731042862,0.004980821628123522,0.02719080075621605,0.10953836143016815,0.02485497109591961,0.0017999063711613417
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,75.0,0.012819874100387096,0.0011797146871685982,0.026911595836281776,0.10953836143016815,0.03165876120328903,0.0063247582875192165
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,100.0,0.011293907649815083,0.0003723116824403405,0.026812640950083733,0.10953836143016815,0.03293841704726219,0.008495613932609558
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,125.0,0.01089746318757534,0.00016551608860027045,0.026792874559760094,0.10953836143016815,0.03308933600783348,0.009035199880599976
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,150.0,0.0107622304931283,9.47167573031038e-05,0.026786381378769875,0.10953836143016815,0.03296266123652458,0.009238582104444504
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,175.0,0.010701642371714115,6.169980042614043e-05,0.026782594621181488,0.10953836143016815,0.032926782965660095,0.009388335049152374
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,200.0,0.010677364654839039,4.771908788825385e-05,0.026780089363455772,0.10953836143016815,0.03288521617650986,0.009485578164458275
oracle_schedule_adapter_hidden_direction,hidden_direction,4,oracle_schedule,4,2720,40,220.0,0.010668107308447361,4.2317406041547656e-05,0.02677907422184944,0.10953836143016815,0.03286272659897804,0.00952541921287775
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,1.0,0.018683109432458878,0.009325794875621796,0.02741193398833275,0.10953836143016815,0.01798621006309986,0.0003235027252230793
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,25.0,0.016452345997095108,0.008205471560359001,0.02736169844865799,0.10953836143016815,0.01937505416572094,0.0004500610812101513
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,50.0,0.010108739137649536,0.004979868419468403,0.027191122993826866,0.10953836143016815,0.024811236187815666,0.0017944584833458066
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,75.0,0.002846033312380314,0.0011859749210998416,0.026913946494460106,0.10953836143016815,0.03150705248117447,0.0062683275900781155
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,100.0,0.001369560370221734,0.00037973711732774973,0.026817571371793747,0.10953836143016815,0.03271805867552757,0.008367280475795269
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,125.0,0.0009841546416282654,0.00017284209025092423,0.0267984326928854,0.10953836143016815,0.0328468419611454,0.008888132870197296
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,150.0,0.0008517313981428742,0.0001014682711684145,0.026792071759700775,0.10953836143016815,0.03271894529461861,0.009086817502975464
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,175.0,0.0007926688995212317,6.79443110129796e-05,0.026788346469402313,0.10953836143016815,0.03267958387732506,0.009233742952346802
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,200.0,0.0007691253558732569,5.356521069188602e-05,0.02678590454161167,0.10953836143016815,0.03263620659708977,0.009328065440058708
oracle_no_bad_penalty_hidden_direction,hidden_direction,4,oracle_schedule_no_bad,4,2720,40,220.0,0.0007601378601975739,4.8012407205533236e-05,0.026784930378198624,0.10953836143016815,0.03261253237724304,0.00936612207442522
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,1.0,0.41127780079841614,0.00032350371475331485,0.02741193398833275,0.10953836143016815,0.01798621006309986,0.0003235027252230793
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,25.0,0.41064128279685974,0.00044967193389311433,0.027368292212486267,0.10953836143016815,0.01999896764755249,0.00044967210851609707
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,50.0,0.4075310230255127,0.003664507297798991,0.02713172324001789,0.10953836143016815,0.041128046810626984,0.0036645065993070602
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,75.0,0.40122002363204956,0.023936638608574867,0.02654918283224106,0.10953836143016815,0.09172207117080688,0.023936636745929718
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,100.0,0.3942960798740387,0.05494121089577675,0.0258928295224905,0.10953836143016815,0.1161845251917839,0.054941218346357346
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,125.0,0.39076170325279236,0.07723163068294525,0.025530261918902397,0.10953836143016815,0.1286190152168274,0.07723163068294525
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,150.0,0.38937705755233765,0.087981216609478,0.025376176461577415,0.10953836143016815,0.13690783083438873,0.0879812240600586
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,175.0,0.38873326778411865,0.0931471511721611,0.0253041572868824,0.10953836143016815,0.14169776439666748,0.0931471511721611
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,200.0,0.38836419582366943,0.09572479128837585,0.025265958160161972,0.10953836143016815,0.14445848762989044,0.09572479873895645
learned_context_adapter_hidden_direction,hidden_direction,4,context_bad_suppression,4,2720,40,220.0,0.38817718625068665,0.09757866710424423,0.025242485105991364,0.10953836143016815,0.14644162356853485,0.09757866710424423
learned_context_no_bad_penalty_hidden_direction,hidden_direction,4,context_no_bad,4,2720,40,1.0,0.0006269323057495058,0.00032350371475331485,0.02741193398833275,0.10953836143016815,0.01798621006309986,0.0003235027252230793
