adapter,source_code,length,window_type,split,n_windows,mean_bad_auc_reduction,median_bad_auc_reduction,mean_bad_dwell_reduction,safe_window_rate,mean_safe_suppression_score,p95_ood_max_pct,p95_action_l1_shift,mean_logprob_delta,mean_entropy_delta,mean_alpha,stage6_pass_gate,stage6_holdout_pass_gate
learned_context_random_labels_hidden_direction,4,20,matched_nonbad_control,adapter_train,5,0.004640639533077041,0.0031023428730587235,0.0,0.8,-0.06888255987330386,0.9818181818181818,0.0019705636985599996,-0.000604705810546875,0.0005571746826171875,0.01510411193288746,False,False
learned_context_random_labels_hidden_subspace,4,20,matched_nonbad_control,adapter_train,5,0.0029694500916229148,0.002639724475065497,0.0,0.8,-0.07034529153189342,0.9818181818181818,0.0007434436678886412,-0.00031604766845703123,0.0002742767333984375,0.008767194407992066,False,False
learned_context_random_labels_hidden_subspace,4,20,event,adapter_holdout,2,0.0014553750212368786,0.0014553750212368786,0.0,1.0,-0.07115647642940533,0.9758907758907759,3.6357301287353055e-05,-8.04901123046875e-05,7.43865966796875e-05,0.00200828526285477,False,False
learned_context_random_labels_hidden_direction,4,20,event,adapter_holdout,2,0.0009721890486154711,0.0009721890486154711,0.0,1.0,-0.07162447192547508,0.9758907758907759,9.404325392097235e-05,-5.970001220703125e-05,5.5503845214843746e-05,0.001375236066087382,False,False
learned_context_no_bad_penalty_hidden_direction,4,20,event,adapter_holdout,2,0.0006537358813995357,0.0006537358813995357,0.0,1.0,-0.0719253908497481,0.9758907758907759,1.0044267401099206e-05,-3.604888916015625e-05,3.566741943359375e-05,0.0008379296079510823,False,False
learned_context_no_bad_penalty_hidden_subspace,4,20,event,adapter_holdout,2,0.0006431601912041049,0.0006431601912041049,0.0,1.0,-0.07193513365816503,0.9758907758907759,9.144353680312633e-06,-3.5762786865234375e-05,3.490447998046875e-05,0.0008379295657505281,False,False
learned_context_no_bad_penalty_hidden_direction,4,20,matched_nonbad_control,adapter_train,5,0.0003176984713839717,0.00034098338637462977,0.0,0.8,-0.07278432725069794,0.9818181818181818,9.852610528469086e-06,-3.360748291015625e-05,2.5787353515625003e-05,0.0007785352366045117,False,False
learned_context_no_bad_penalty_hidden_subspace,4,20,matched_nonbad_control,adapter_train,5,0.00031341078233710907,0.00033750242674539244,0.0,0.8,-0.07278679388746176,0.9818181818181818,8.793603628873825e-06,-3.139495849609375e-05,2.31170654296875e-05,0.0007785352057544515,False,False
original_ppo_hidden_direction,4,20,event,adapter_holdout,2,0.0,0.0,0.0,0.0,-0.076716144785736,0.9775557775557775,1.601874828338623e-07,-2.2888183593750003e-06,5.7220458984375e-07,0.0,False,False
original_ppo_hidden_subspace,4,20,event,adapter_holdout,2,0.0,0.0,0.0,0.0,-0.076716144785736,0.9775557775557775,1.601874828338623e-07,-2.2888183593750003e-06,5.7220458984375e-07,0.0,False,False
manual_stage55_hawkes_hidden_direction,4,20,matched_nonbad_control,adapter_train,5,0.0,0.0,0.0,0.0,-0.07707346094427991,0.9832833832833833,1.553446054458618e-07,3.8146972656249997e-07,-9.918212890625e-07,0.0,False,False
manual_stage55_hawkes_hidden_subspace,4,20,matched_nonbad_control,adapter_train,5,0.0,0.0,0.0,0.0,-0.07707346094427991,0.9832833832833833,1.553446054458618e-07,3.8146972656249997e-07,-9.918212890625e-07,0.0,False,False
original_ppo_hidden_direction,4,20,matched_nonbad_control,adapter_train,5,0.0,0.0,0.0,0.0,-0.07707346094427991,0.9832833832833833,1.553446054458618e-07,3.8146972656249997e-07,-9.918212890625e-07,0.0,False,False
original_ppo_hidden_subspace,4,20,matched_nonbad_control,adapter_train,5,0.0,0.0,0.0,0.0,-0.07707346094427991,0.9832833832833833,1.553446054458618e-07,3.8146972656249997e-07,-9.918212890625e-07,0.0,False,False
