code_id,final_label,top_score,second_score,score_margin,method_disagreement_rate,label_uncertainty,needs_manual_review
0,risk_off_deleveraging,0.5465148346311736,0.520223838829518,0.026290995801655614,0.19999999999999996,0.5094836016793377,False
1,baseline_hold,0.5541784664395909,0.5322975308361115,0.021880935603479368,0.4,0.6312476257586083,True
2,momentum_trend_following,0.49558639701573065,0.48763632521780087,0.00795007179792978,0.4,0.6368199712808281,True
3,risk_off_deleveraging,0.7357302408072588,0.7313858303728004,0.0043444104344584344,0.0,0.39826223582621667,False
4,active_trading,0.7279151559803884,0.7045690109021991,0.023346145078189218,0.19999999999999996,0.5106615419687243,False
5,sector_or_group_rotation,0.8993436220877989,0.8051599336968228,0.09418368839097613,0.4,0.6023265246436096,True
6,baseline_hold,0.5563528648548778,0.552999030661743,0.0033538341931347304,0.6,0.7586584663227461,True
7,momentum_trend_following,0.8375835560657273,0.8059967801331982,0.03158677593252912,0.19999999999999996,0.5073652896269883,False
