code_id,mechanism,score,evidence
3,volatility_targeting,0.7357302408072588,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,risk_off_deleveraging,0.7313858303728004,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,liquidity_or_stress_sensitive_execution,0.6541358006236226,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,forced_liquidation_stop_loss,0.5452368119318516,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,calendar_rebalancing,0.4103295603654732,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987; month_end_rate=0.040
3,crowding_or_concentration,0.4007810661378832,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,baseline_hold,0.38094221521176663,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,short_term_reversal_recovery,0.3570160968125604,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,sector_or_group_rotation,0.3336192029297682,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,execution_metaorder_artifact,0.2773364132717908,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,momentum_trend_following,0.2593934452604914,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
3,active_trading,0.2559053781860882,cash=0.208; q=0.792; stress=0.493; recovery=0.439; turnover=0.0018; VIX=1.625; SP500Trend=-1.414; residual20=-0.987
4,execution_metaorder_artifact,0.7279151559803884,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,active_trading,0.7045690109021991,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,calendar_rebalancing,0.6824377533759851,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194; month_end_rate=0.035
4,sector_or_group_rotation,0.6452384865741159,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,liquidity_or_stress_sensitive_execution,0.6146412038712332,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,momentum_trend_following,0.5684194796492013,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,forced_liquidation_stop_loss,0.5475728388069276,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,crowding_or_concentration,0.5356199573837678,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,volatility_targeting,0.48889848863557506,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,short_term_reversal_recovery,0.4493905773896093,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,risk_off_deleveraging,0.4111312778387261,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
4,baseline_hold,0.2991843822713034,cash=0.155; q=0.845; stress=0.452; recovery=0.505; turnover=0.0060; VIX=0.126; SP500Trend=0.683; residual20=0.194
5,execution_metaorder_artifact,0.8993436220877989,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,active_trading,0.8051599336968228,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,sector_or_group_rotation,0.7755219719395633,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,risk_off_deleveraging,0.7124613509758404,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,forced_liquidation_stop_loss,0.7010789327371725,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,calendar_rebalancing,0.6820867274997943,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387; month_end_rate=0.029
5,volatility_targeting,0.6719658778259635,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,liquidity_or_stress_sensitive_execution,0.6310160693809653,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,crowding_or_concentration,0.5805330591797355,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,momentum_trend_following,0.51027329351443,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,short_term_reversal_recovery,0.3852390792126801,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
5,baseline_hold,0.26665476126697407,cash=0.209; q=0.791; stress=0.458; recovery=0.476; turnover=0.0060; VIX=0.592; SP500Trend=1.409; residual20=-0.387
