K,best_val_recon,best_epoch,utilization,perplexity,recon_mse_normalized,var_h,recon_over_var,median_run_length,cross_fold_nmi,source
4,0.8554546236991882,,1.0,3.36685182623778,0.8554546236991882,1.0014244318008423,0.8542378201826379,31.0,0.7106882003778565,windowed_kmeans_vq_r6c
8,0.8045614957809448,,1.0,6.913561829748934,0.8045614957809448,1.0014244318008423,0.8034170829386671,18.0,0.6337735183019049,windowed_kmeans_vq_r6c
16,0.7542393207550049,,1.0,11.908254753235635,0.7542393207550049,1.0014244318008423,0.7531664864603621,15.0,0.61524912228453,windowed_kmeans_vq_r6c
32,0.6952205300331116,,1.0,25.52368103405655,0.6952205300331116,1.0014244318008423,0.6942316444016748,10.0,0.6748741938109184,windowed_kmeans_vq_r6c
64,0.6239704489707947,,1.0,47.77683344237461,0.6239704489707947,1.0014244318008423,0.6230829098594296,9.0,0.7217207792747037,windowed_kmeans_vq_r6c
